Symbol,Description,Price,Price - Currency,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Industry,Analyst rating,Price to earnings ratio forward,"Price to earnings ratio forward Non-GAAP, Annual"
IBOC,International Bancshares Corporation,71.36,USD,-0.7648449450702227,350164,1.2716349052095182,4437986869.978584,USD,10.760600759997587,6.6316,USD,0.2933970539306144,2.03031567236824,Finance,Regional banks,Strong buy,10.99537750385208,11.167449139280127
ALH,Alliance Laundry Holdings Inc.,22.23,USD,-2.1997360316761987,749345,0.4784189691019154,4419081448.49934,USD,25.02532928064843,0.8883,USD,,0,Producer manufacturing,Industrial machinery,Strong buy,16.38357161861286,16.5068578086051
NWE,"NorthWestern Energy Group, Inc.",71.78,USD,1.4128284826222095,230818,0.6392929550314083,4415751396.723651,USD,25.823859548136426,2.7796,USD,-24.3440391943386,3.7722520486013,Utilities,Electric utilities,Neutral,19.083492539678403,19.09801902618195
GEF,Greif Inc.,84.69,USD,-0.3647058823529439,296300,0.9640653820487317,4412670818.014587,USD,21.88994287782057,3.8689,USD,42.05617771250229,2.70588235294118,Process industries,Containers/Packaging,Neutral,18.34705372616984,19.642054917506385
GFF,Griffon Corporation,97.33,USD,-2.357544141252015,264080,0.8754989909947064,4408534710.350019,USD,21.60344483164273,4.5053,USD,236.16624384420234,0.882825040128411,Producer manufacturing,Building products,Strong buy,16.322712417889612,18.028845040659835
VNT,Vontier Corporation,32.57,USD,-2.192192192192183,1572618,1.375546241126315,4403463799.493994,USD,13.528556593977154,2.4075,USD,-8.271736645584085,0.3003003003003,Transportation,Other transportation,Buy,8.967187582165952,9.30664229090272
NP,Neptune Insurance Holdings Inc.,32.05,USD,-3.551008125188083,314205,0.7835588917930371,4398320656.315077,USD,139.71229293809938,0.2294,USD,-18.853908737177225,0,Finance,Insurance brokers/Services,Buy,52.196656808202924,58.52983286582515
FELE,"Franklin Electric Co., Inc.",99.13,USD,-0.6315156375300818,222188,1.299194596181261,4382682513.128307,USD,28.571840322813085,3.4695,USD,-10.286246218291835,1.10765838011227,Producer manufacturing,Industrial machinery,Buy,20.294145344814172,21.271162800678066
HP,"Helmerich & Payne, Inc.",43.71,USD,-1.4652840396753801,1321250,0.9083520400572765,4368331212.83724,USD,,-1.4035,USD,-323.89006342494713,2.25428313796213,Industrial services,Contract drilling,Neutral,33.399709939833144,
ONDS,Ondas Inc,7.62,USD,0,43005843,0.7205783908793444,4354484373.999999,USD,85.23489932885907,0.0894,USD,,0,Electronic technology,Telecommunications equipment,Strong buy,,24.580645161290324
